SPOT_ID,TRACK_ID,PREV_TRACK_ID,POSITION_X,POSITION_Y,FRAME,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,ANGLE,ANGULAR_VELOCITY,TOTAL_DISPLACEMENT_VECTOR,TOTAL_DISPLACEMENT,FRAME_GAP,STEP_SPEED,MSD_LAG_TIME,MSD,CLASS,SPOT_LABEL,NEIGHBOUR,NEIGHBOUR_UNCERTAIN,CONTACT,UPDATE_NEIGHBOUR,CONTACT_ANGLE (deg),DISP_RELATIVE_ANGLE (deg),REVERSAL,CONTACT_REVERSAL
16387,0,,75.93326198881874,92.85469917622557,0,2.0008365500603165,0.4047441884957892,1.8248836791192395,4.943459614568702,2.3934624999999983,,,"[0.0, 0.0]",0.0,0,0.0,0,0.0,moving,2574,[2537],[2537],1.0,[2537],[20.773921856355386],,0,0.0
16776,0,,76.14487768243175,92.2600422031808,1,1.9730366589822197,0.4108746011968737,-1.345696728776208,4.802040946884483,2.4610625000000064,,,"[0.21161569361301247, -0.5946569730447493]",0.6311878621884772,1,0.6311878621884772,1,0.4503919261735093,moving,2555,[2662],[],1.0,[2662],[4.567647770435826],,0,0.0
16723,0,,76.16183304767517,92.8866245358168,2,2.069115564672805,0.400537486436554,-1.387808611338537,5.165847479298439,2.465287500000003,2.7726518522597776,,"[0.016955365243418896, 0.6265823326360049]",0.626811697387752,1,0.626811697387752,2,1.2605311304191693,moving,2587,[2696],[2696],1.0,[2696],[3.297346367021035],5.0724774324143835,0,0.0
45963,0,,76.06202180027167,94.50810759492684,3,1.9005042663168537,0.432679475478138,-1.3866361816889128,4.392406790769718,2.5033124999999976,0.0885314324287366,-2.684120419831041,"[-0.09981124740350822, 1.6214830591100338]",1.6245521216904917,1,1.6245521216904917,3,2.275912498199199,moving,2639,[2747],[],1.0,[2747],[5.4309500465612786],16.700343261148145,0,0.0
57124,0,,76.22406419014554,95.20017862225512,4,1.9427953111300733,0.4061443756804451,-1.407770774866724,4.783509085593412,2.473737499999996,0.2914759761202831,0.2029445436915464,"[0.16204238987387498, 0.6920710273282822]",0.7107883250189615,1,0.7107883250189615,4,3.4361397546824333,moving,2674,[2781],[],1.0,[2781],[4.383575759489503],17.96258806903709,0,0.0
55042,0,,76.39296272492528,95.47971793771812,5,2.072533202995366,0.4127995940751698,1.724184942242239,5.020676455941383,2.4652875000000036,0.3135063039841477,0.0220303278638646,"[0.1688985347797427, 0.2795393154629977]",0.3266021187014336,1,0.3266021187014336,5,4.684347685363127,moving,2679,[2783],[],1.0,[2783],[1.0473742870717757],46.00147222042081,0,0.0
19782,0,,76.25878043659861,95.98539812481404,6,2.079295205544494,0.409065290857715,-1.381398805985993,5.0830399254473395,2.515987499999992,0.8028771510110565,0.4893708470269088,"[-0.13418228832667012, 0.5056801870959049]",0.5231800245822952,1,0.5231800245822952,6,6.025669055664647,moving,2710,[2808],[],1.0,[2808],[2.309704391913783],15.565941337848805,0,0.0
54424,0,,76.26493589743623,96.48565018315227,7,1.988829787856863,0.4133827983366548,1.719996772655704,4.811109208848066,2.499087499999997,0.2716769275177588,-0.5312002234932977,"[0.0061554608376184206, 0.5002520583382477]",0.5002899275118149,1,0.5002899275118149,7,7.401915424681075,moving,2706,[2818],[],1.0,[2818],[1.0473742870717757],2.889755518362894,0,0.0
57238,0,,76.24047331108748,97.12686891853603,8,1.9802537251356076,0.4334360452042664,1.6042912104707032,4.568733373806899,2.53288750000001,0.0504357483731057,-0.2212411791446531,"[-0.024462586348747095, 0.6412187353837737]",0.6416851913033649,1,0.6416851913033649,8,8.736142661495986,moving,2734,[2836],[2836],1.0,[2836],[12.806008796664173],80.29402372196176,0,0.0
54685,0,,75.85088584853224,97.17830569375135,9,1.9851539194779948,0.4210889249331735,1.6609082095924217,4.7143341986328355,2.5476750000000026,1.4013950836226656,1.35095933524956,"[-0.3895874625552409, 0.05143677521532197]",0.3929683610989348,1,0.3929683610989348,9,9.896658180848233,moving,2747,[],[],0.0,[],,69.17623236742814,0,0.0
54808,0,,75.69174717513222,96.8833079095938,10,1.9719077665733793,0.4286570955628291,1.666070251178589,4.600198589934114,2.492749999999997,1.2073530189362929,-0.1940420646863727,"[-0.1591386734000224, -0.29499778415755884]",0.3351847401499487,1,0.3351847401499487,10,10.960369611843948,moving,2742,[2840],[],1.0,[2840],[9.750624602942267],132.9556947371988,0,0.0
19460,0,,75.44663518053477,97.60748740556085,11,1.979534476272932,0.4195947271640118,1.7302890235320878,4.7177296284258805,2.515987500000003,2.320514632440604,1.1131616135043112,"[-0.24511199459745114, 0.7241794959670216]",0.7645363511793212,1,0.7645363511793212,11,12.00027496905653,moving,2754,[],[],0.0,[],,170.81063649803815,0,0.0
57384,0,,75.57022777777021,96.86971666665714,12,2.03306096034183,0.4364798460388581,1.6536450614664122,4.657857582182235,2.534999999999999,2.9812080043179554,0.6606933718773513,"[0.12359259723544369, -0.7377707389036914]",0.7480513306410873,1,0.7480513306410873,12,12.815569183665048,moving,2739,[2832],[2832],1.0,[2832],[3.1199940479457524],174.9785510106477,0,0.0
57748,0,,75.25902051715003,98.07034851040784,13,2.039473707064744,0.4177147783493505,-1.4946385385492742,4.8824552368579495,2.505425000000008,3.0539518355046584,0.072743831186703,"[-0.3112072606201792, 1.2006318437507133]",1.2403091482735074,1,1.2403091482735074,13,13.47219376311502,moving,2759,[2849],[],1.0,[2849],[0.0],12.968660089842157,0,0.0
60366,0,,75.23177443105084,99.0690234270315,14,1.980626801853832,0.4309002301081857,-1.3992369317531836,4.596485830041349,2.630062500000003,0.2263458181397258,-2.8276060173649324,"[-0.027246086099196987, 0.9986749166236422]",0.9990465145832618,1,0.9990465145832618,14,13.814508787576566,moving,2793,[],[],0.0,[],,155.53876275912873,1,0.0
59778,0,,74.99183203631338,98.50095784694852,15,1.9812853460574955,0.4548075554329645,-1.317564425006079,4.356315813996021,2.714562500000014,2.714663524625136,2.48831770648541,"[-0.23994239473745438, -0.5680655800829726]",0.6166610544434832,1,0.6166610544434832,15,13.85172386694202,moving,2773,[],[],0.0,[],,67.04349888868907,0,0.0
62232,0,,75.32350907910329,98.15923151749158,16,2.0839115134061226,0.4385293618312076,1.7726800761740416,4.752045575019516,2.7145625,1.1701297976647835,-1.5445337269603523,"[0.33167704278990584, -0.3417263294569466]",0.4762211093158036,1,0.4762211093158036,16,14.130252752572693,moving,2763,[],[],0.0,[],,11.616277391546808,0,0.0
63389,0,,75.72216797900279,97.53415485564344,17,1.995232419486438,0.4648615864274857,-1.5684348535744026,4.2921000094243675,2.6828749999999815,0.2027422873074703,-0.9673875103573132,"[0.39865889989950176, -0.6250766618481407]",0.7413836737184707,1,0.7413836737184707,17,14.637001472888745,moving,2746,[],[],0.0,[],,103.61086008724172,0,0.0
